Id,Label,timeset,componentnumber,modularity_class,pageranks
lscsoft-glue,lscsoft-glue,,307,7,0.006788
oauthlib,oauthlib,,307,7,0.006788
ptemcee,ptemcee,,307,7,0.006788
reproject,reproject,,307,7,0.006788
requests-oauthlib,requests-oauthlib,,307,7,0.006788
rsa,rsa,,307,7,0.006788
secretstorage,secretstorage,,307,7,0.006788
soupsieve,soupsieve,,307,7,0.006788
webencodings,webencodings,,307,7,0.006788
langumo,langumo,,307,5,0.001844
bleak,bleak,,307,3,0.005121
nest_asyncio,nest_asyncio,,307,3,0.005121
dynaconf,dynaconf,,307,7,0.001648
flatten_json,flatten_json,,307,7,0.001648
sphinxcontrib-bibtex,sphinxcontrib-bibtex,,307,2,0.00508
python-rclone,python-rclone,,307,3,0.003337
conda-pack,conda-pack,,307,3,0.003337
mlserver,mlserver,,307,3,0.003337
furo,furo,,307,2,0.00142
lexrank,lexrank,,307,2,0.004349
summ_eval,summ_eval,,307,2,0.004349
easynmt,easynmt,,307,2,0.004349
exif,exif,,307,0,0.003926
piexif,piexif,,307,0,0.003926
async_generator,async_generator,,307,7,0.002563
cloud-sql-python-connector,cloud-sql-python-connector,,307,7,0.002563
google-cloud-aiplatform,google-cloud-aiplatform,,307,7,0.002563
immutabledict,immutabledict,,307,7,0.002563
scp,scp,,307,6,0.004768
setuptools_rust,setuptools_rust,,307,6,0.005091
pytest-benchmark,pytest-benchmark,,307,6,0.005091
parallel-ssh,parallel-ssh,,307,6,0.005091
sudachidict_core,sudachidict_core,,307,2,0.004967
pyemd,pyemd,,307,2,0.004967
cpas_toolbox,cpas_toolbox,,307,4,0.004009
mesh-to-sdf,mesh-to-sdf,,307,4,0.004009
pynput,pynput,,307,4,0.004009
segtok,segtok,,307,0,0.006164
nerda,nerda,,307,0,0.006164
praat-parselmouth,praat-parselmouth,,307,1,0.003303
pwlf,pwlf,,307,1,0.003303
torch_specinv,torch_specinv,,307,1,0.003303
djangorestframework,djangorestframework,,307,3,0.003109
technical,technical,,307,3,0.008346
pycoingecko,pycoingecko,,307,3,0.008346
questionary,questionary,,307,3,0.008346
