LIBRARY,FREQUENCY,description,keywords,embedding_vectors,labels_6,labels_7
numpy,1202,it provides a powerful n dimensional array objectsophisticated broadcasting functionstools for integrating c c and fortran codeuseful linear algebra fourier transform and random number capabilitiesand much morebesides it obvious scientific us numpy can also be used a an efficient multi dimensional container of generic data arbitrary data type can be defined this allows numpy to seamlessly and speedily integrate with a wide variety of database all numpy wheel distributed on pypi are bsd licensed numpy requires pytest and hypothesis test can then be run after installation with,"[('numpy', 0.5214), ('numpy wheel', 0.5065), ('powerful n dimensional array', 0.3767), ('codeuseful linear algebra', 0.3738), ('arbitrary data type', 0.3537), ('database', 0.2685), ('broadcasting functionstools', 0.2608), ('dimensional container', 0.2489), ('efficient multi', 0.2406), ('generic data', 0.2116)]","[-4.29110155e-02 -1.21656582e-02 -2.56203320e-02 -4.90776822e-02
 -2.09555048e-02 -1.14177682e-01 -1.02970339e-02 -1.92490853e-02
 -9.73632857e-02  3.03531196e-02  7.27114454e-03  5.48760481e-02
  6.97449548e-03  9.78756789e-03 -1.62722245e-02  6.31891266e-02
 -2.60128248e-02  4.02328297e-02  2.58813761e-02 -7.06093907e-02
 -8.48159567e-02  1.75357074e-03 -6.78308606e-02  4.72732410e-02
  2.65613869e-02  4.99888882e-02  1.38159643e-03  2.11788379e-02
 -1.71933267e-02 -3.28374170e-02  5.09532681e-03  8.83885100e-02
  6.67909235e-02  1.12816719e-02 -5.23129106e-02  1.04995761e-02
  3.29854973e-02  1.96856330e-04 -4.73096147e-02  5.09861186e-02
  8.02194420e-03  1.02982847e-02  1.40204821e-02  2.60588638e-02
 -1.37754139e-02 -4.46670540e-02  6.05277671e-03 -9.35150832e-02
 -1.02823076e-03  4.36887052e-03 -7.44527876e-02 -4.17522993e-03
 -6.19726591e-02  3.53153720e-02  4.26795557e-02 -1.17652744e-01
  1.69195216e-02 -1.76410191e-02  1.63551886e-02 -3.48748788e-02
  7.73110474e-03 -5.81291057e-02  8.10583495e-03  4.05723508e-03
  2.07280703e-02  1.55721307e-02  1.37316315e-02  5.12890331e-02
  4.08990830e-02 -2.44193599e-02 -2.85723265e-02  9.82567854e-03
 -6.31188303e-02  7.21742213e-02  1.55490804e-02 -7.49778003e-02
  5.07360362e-02 -8.11884105e-02  2.94711869e-02  2.16175783e-02
 -7.97796026e-02  3.21575291e-02 -1.63299264e-03  7.34731462e-03
 -5.65171381e-03 -3.51975709e-02 -3.94338854e-02  9.42842513e-02
  6.84812814e-02 -3.57925519e-02 -3.12790996e-03 -3.53247253e-03
  5.05972989e-02  3.15005295e-02 -2.81741880e-02 -4.78908420e-03
  6.19461760e-02 -1.03768051e-01  2.59071253e-02  3.20748948e-02
  2.70434655e-02 -9.71616525e-03  1.28791369e-02  4.77306694e-02
  5.45989769e-03  1.52883641e-02  8.08343515e-02 -2.91363820e-02
 -2.79982518e-02 -2.37863362e-02 -6.26164675e-02 -2.72677168e-02
 -6.58679828e-02 -6.51871338e-02 -2.96813846e-02 -2.99110319e-02
 -8.53397250e-02  6.75166473e-02  3.82969417e-02  2.04948634e-02
  3.70755908e-03  1.25658624e-02  3.63454111e-02  4.44407463e-02
 -8.94286018e-03  1.22662634e-02 -8.08671415e-02  2.94877129e-33
 -9.29170549e-02  1.69218406e-02 -1.77119188e-02  3.88188623e-02
  8.55197385e-02 -4.83027697e-02  7.23840371e-02 -3.75963002e-02
  5.77242719e-03  5.43473102e-02 -2.41532251e-02  1.66786537e-01
 -3.43478136e-02  8.81516933e-02  1.27870291e-01  2.21486203e-02
  2.41846573e-02  7.66882077e-02  5.47517464e-03 -4.84839529e-02
  4.92511727e-02  2.91363504e-02  3.51956114e-02  4.33783792e-02
  2.90792231e-02 -1.43560264e-02 -2.93460768e-02 -4.99294279e-03
  3.28647234e-02  7.75053457e-04 -1.00666791e-01  4.51877108e-03
  2.47384757e-02 -8.98020226e-04  3.01432945e-02 -4.71739471e-02
 -5.96297570e-02 -5.63543327e-02  2.32086610e-02 -3.99189331e-02
  5.32833254e-03  6.16741516e-02  1.23746535e-02 -2.83938479e-02
 -3.05226985e-02  6.65168092e-02 -1.20540354e-02  1.16395362e-01
  1.28501051e-04 -3.49789695e-03 -7.23670051e-02  2.04602983e-02
 -1.75190251e-02  3.25496495e-02 -1.88180141e-03  1.69083457e-02
 -1.85811112e-03  3.57047580e-02  1.98422465e-02  1.15384631e-01
 -9.77950394e-02  1.20954113e-02  3.62375453e-02 -1.08009174e-01
 -2.82507259e-02 -2.02514511e-02 -4.04637568e-02 -3.09572928e-03
  8.60607475e-02  6.19379655e-02 -4.79597077e-02  6.87123165e-02
 -4.85194661e-02  3.05100344e-03  2.76762825e-02  6.05252245e-03
  8.51329342e-02 -1.31424278e-01 -7.80910999e-02 -4.82047908e-02
 -1.79110877e-02  3.17973420e-02 -9.34300944e-03 -6.21596985e-02
 -1.55516416e-02 -3.19179706e-02 -9.78250708e-03 -8.06575567e-02
 -5.70706651e-02 -3.79275419e-02 -1.05920598e-01  3.90302055e-02
  9.75200068e-03 -6.61788136e-02 -8.32979232e-02 -2.97061179e-33
 -8.96281749e-03  4.47908007e-02 -7.82191753e-02  7.81535208e-02
  2.46404316e-02  1.26149701e-02 -1.38855921e-02 -7.48189390e-02
 -4.65465104e-03 -2.03456897e-02 -6.92078397e-02 -8.03254694e-02
  7.11785480e-02 -4.28167218e-03  6.55620471e-02  1.65406391e-02
 -2.25732420e-02 -8.84913057e-02 -3.45194340e-02 -5.56124821e-02
 -6.46249875e-02  1.27109483e-01 -3.79238315e-02 -2.02609655e-02
 -7.12784454e-02 -7.97381811e-03 -1.21091716e-01 -4.88869697e-02
  4.55259718e-02  6.34873807e-02 -3.25581208e-02 -2.04932801e-02
  4.39201891e-02  1.33556677e-02  5.59376776e-02  2.92363279e-02
  1.16210893e-01 -7.20814336e-03 -5.06912954e-02 -6.24759458e-02
  1.07325584e-01  3.12960595e-02  4.07250784e-02  2.23364439e-02
 -1.52276531e-02  2.63521932e-02 -9.44407806e-02  4.77819145e-02
  3.89731191e-02 -9.82600357e-03 -2.28499305e-02  1.17507074e-02
  2.98850853e-02 -4.88933362e-02  5.55893481e-02  1.17592681e-02
 -1.45994769e-02  2.01940797e-02  3.92872244e-02 -1.73248816e-02
 -4.42756079e-02 -1.11473590e-01  3.01175956e-02  6.02149218e-02
 -1.00033665e-02 -6.87971115e-02 -2.57721208e-02 -1.13532087e-02
 -1.03922553e-01 -4.87665199e-02 -1.99814476e-02  4.43513021e-02
  1.59539524e-02 -2.79430654e-02 -1.19885243e-01  5.31962421e-03
 -1.71092078e-02 -5.29148802e-03 -1.33202169e-02  7.67906532e-02
  5.22726588e-02  2.18531825e-02  9.04890969e-02  3.39555256e-02
 -1.24873044e-02  9.80378166e-02  9.27315801e-02 -6.55844808e-02
  5.25336564e-02 -4.20027673e-02  5.69608323e-02  4.05391157e-02
 -6.23767450e-02  1.52971655e-01  6.01841770e-02 -2.83278165e-08
  5.40576410e-03 -3.30953710e-02  3.66337335e-04 -3.54009941e-02
  5.77583611e-02 -4.57096882e-02  1.57669429e-02  1.36651531e-01
 -2.25734860e-02  4.99064401e-02  5.87484688e-02  1.07401155e-03
 -4.46055122e-02  6.91809058e-02  7.78188109e-02  3.12668607e-02
 -2.43100282e-02 -5.55694774e-02 -5.17944200e-03 -4.13815714e-02
 -2.32015382e-02  4.25820686e-02 -1.39309634e-02  2.39046011e-03
 -5.51910289e-02 -2.33360529e-02 -8.51109438e-03 -9.89397615e-03
  9.61796790e-02  7.56234378e-02  4.57082130e-02 -3.98943201e-02
  1.13729298e-01 -5.97362444e-02  4.86122407e-02 -1.44198891e-02
 -1.40173705e-02  4.34162095e-02 -4.12692912e-02  8.65389500e-03
 -3.07690892e-02  5.44084348e-02 -5.13911806e-02 -2.33767042e-03
  7.16246292e-02  1.65749285e-02  4.47252160e-03 -2.24461984e-02
 -1.62157640e-02  1.99942440e-02 -1.96334161e-02  2.92896144e-02
 -2.45141722e-02 -3.68748046e-02  8.50019529e-02  3.96408103e-02
 -9.87357274e-02 -2.03549885e-03  5.33098616e-02  2.37185806e-02
 -1.03343455e-02  2.21109716e-03  3.38463224e-02  7.32543552e-03]",0,3
scipy,515,scipy pronounced sigh pie is an open source software for mathematics science and engineering it includes module for statistic optimization integration linear algebra fourier transforms signal and image processing ode solver and more website http scipy orgdocumentation http doc scipy org mailing list http mail python org mailman list scipy dev python org source code http github com scipy scipycontributing http scipy github io devdocs dev index htmlbug report http github com scipy scipy issuescode of conduct http scipy github io devdocs dev conduct code of conduct htmlreport a security vulnerability http tidelift com doc securityciting in your work http www scipy org citing scipy scipy is built to work with numpy array and provides many user friendly and efficient numerical routine such a routine for numerical integration and optimization together they run on all popular operating system are quick to install and are free of charge numpy and scipy are easy to use but powerful enough to be depended upon by some of the world s leading scientist and engineer if you need to manipulate number on a computer and display or publish the result give scipy a try for the installation instruction see our install guide we appreciate and welcome contribution small improvement or fix are always appreciated issue labeled a good first issue may be a good starting point have a look at our contributing guide writing code isn t the only way to contribute to scipy you can also review pull requeststriage issuesdevelop tutorial presentation and other educational materialsmaintain and improve our websitedevelop graphic design for our brand asset and promotional materialshelp with outreach and onboard new contributorswrite grant proposal and help with other fundraising effortsif you re unsure where to start or how your skill fit in reach out you can ask on the mailing list or here on github by leaving a comment on a relevant issue that is already open if you are new to contributing to open source this guide help explain why what and how to get involved,"[('more website http scipy orgdocumentation http', 0.5761), ('scipy org', 0.5624), ('scipy', 0.5152), ('dev python', 0.5143), ('open source software', 0.4415), ('efficient numerical routine', 0.4056), ('charge numpy', 0.3449), ('numerical integration', 0.341), ('github', 0.3189), ('mathematics science', 0.3097)]","[-8.61037597e-02 -4.86622937e-02 -3.10016610e-02  4.36241254e-02
  3.51729430e-02 -1.72726214e-01 -1.06839418e-01  6.32431805e-02
 -7.52854571e-02  5.16041107e-02  1.03166476e-02  1.51591673e-02
  1.01972865e-02  1.79452039e-02  1.17897401e-02 -1.10899666e-02
 -1.28479138e-01  9.44192335e-02  2.49511283e-03 -9.66192856e-02
 -1.37285767e-02  3.91941480e-02  5.18595167e-02 -1.43707218e-02
  5.95818907e-02 -3.02732624e-02 -2.60829907e-02 -1.73808523e-02
  2.84192767e-02 -4.60860245e-02 -4.13030833e-02  6.02324307e-02
  3.21958847e-02 -4.58306447e-02  2.61358870e-03 -4.87946812e-03
  3.11155245e-02 -1.47536341e-02 -6.53883349e-03  9.69554856e-02
 -4.92799580e-02  1.60458847e-03  5.78988083e-02  2.79855151e-02
  9.85171646e-03 -3.83020900e-02 -2.07553059e-02 -1.12734593e-01
  2.74965148e-02  1.11064995e-02 -8.63099247e-02 -3.20027322e-02
 -8.66629109e-02 -1.65417157e-02 -5.16895391e-03 -9.41439569e-02
  1.15765855e-01 -8.04761052e-03  2.74414085e-02 -1.13205798e-01
  1.56293884e-02  2.99804546e-02 -2.39451397e-02 -1.57600511e-02
 -1.25123383e-02 -1.97925325e-02  3.71049941e-02  7.43988752e-02
  1.07381769e-01  1.48776360e-02 -5.08982688e-02 -5.95141621e-03
 -2.15782062e-03  8.73126388e-02  7.70478621e-02 -3.10274828e-02
  7.59714320e-02  2.78378576e-02  3.96228544e-02 -1.69556960e-02
 -2.15322003e-02 -4.07397337e-02 -5.33815771e-02 -2.52004154e-03
 -3.27374786e-02 -5.15576713e-02 -2.50261631e-02  1.23063110e-01
  7.84204807e-03  1.59915052e-02  9.49158594e-02 -2.47039404e-02
 -3.45637016e-02 -3.47631089e-02 -7.76893049e-02  4.61785421e-02
  4.41037603e-02 -5.91511801e-02  2.56999787e-02  4.43665795e-02
 -5.28505025e-03 -6.51790053e-02  2.14131474e-02  2.92150993e-02
 -1.25617313e-03  4.62989248e-02  1.08309664e-01  1.09488470e-02
  7.39726946e-02 -1.38804708e-02 -2.82369610e-02 -1.64775681e-02
 -3.30294035e-02 -4.87077422e-02  4.19763550e-02  4.72255573e-02
  4.17052731e-02  3.53494361e-02  3.41517106e-02 -2.36460380e-02
 -5.22838384e-02  4.09849882e-02  3.20447534e-02  5.10104699e-03
 -1.34427391e-03  5.74806705e-03 -9.54568908e-02  1.93584524e-33
 -3.91111476e-03  5.43109812e-02 -1.95977651e-02 -4.38638814e-02
  2.14664172e-03 -4.07215208e-02 -1.30947297e-02  5.04143611e-02
 -8.12664405e-02 -3.77631597e-02  3.69942957e-03  1.39655665e-01
  1.38805723e-02  3.96415591e-02 -2.38770545e-02 -7.67359734e-02
  2.96127088e-02  6.38008490e-02  2.05139536e-02 -6.16747607e-03
  1.61510578e-03 -1.53916618e-02  4.27757129e-02  8.09060857e-02
  1.48801925e-02  3.19089331e-02 -3.35673802e-02 -2.74109896e-02
 -1.45051619e-02  1.38015235e-02 -3.91419977e-02  4.76758294e-02
 -2.32480653e-02  2.07858868e-02  4.52577211e-02 -2.58315541e-03
 -1.53098162e-02 -8.75930339e-02  4.55364287e-02 -4.15535755e-02
 -3.47440615e-02  5.75385243e-02  3.57287675e-02  3.04535553e-02
 -1.56400334e-02 -2.39182822e-02 -1.78694306e-03  6.07119538e-02
  1.11967579e-01 -4.62647900e-02 -9.75392461e-02 -3.82888727e-02
  3.74385752e-02  2.24038009e-02 -4.66192886e-02  5.76141179e-02
  3.21649462e-02 -1.69057213e-02  1.07749924e-02  3.60502265e-02
  8.63152649e-03  4.16525528e-02 -9.54357628e-03 -1.27979323e-01
 -5.26484586e-02  9.37056821e-03 -4.87591848e-02  5.64949438e-02
 -6.36378536e-03  7.39798769e-02 -9.51392055e-02  5.32193705e-02
 -3.29405628e-02 -1.53259989e-02 -5.03788842e-03  3.56323309e-02
  5.88656887e-02 -1.00900725e-01  1.80330779e-02 -3.92571004e-04
 -4.03843783e-02  5.86638693e-03 -2.64899675e-02 -1.13668025e-01
  3.26479971e-02 -2.21184250e-02 -3.03382874e-02  5.95472977e-02
 -8.63989070e-03 -8.95706043e-02 -2.03732541e-03 -3.26260850e-02
  3.57372314e-02 -1.58589333e-02 -3.10012861e-03 -2.68452549e-33
 -9.20729712e-02 -5.08960243e-03 -4.76771295e-02  8.90735015e-02
 -1.81867927e-02  1.19315386e-02 -2.10159943e-02 -1.17141686e-01
  2.67842114e-02 -1.53379394e-02 -1.72420195e-03 -2.40018293e-02
  4.08091024e-02 -1.43404724e-02  4.19981480e-02 -8.86795297e-03
 -8.65693688e-02 -3.87678705e-02 -1.60411093e-02  1.64881330e-02
 -6.24159165e-02  8.72795507e-02 -2.42586657e-02 -6.36615530e-02
  1.17163640e-02 -5.34461215e-02 -4.62341383e-02 -6.18524998e-02
  3.47275734e-02  5.67999631e-02  9.62974969e-03  1.37473096e-03
 -8.57419074e-02  6.98652938e-02  5.37346676e-02  3.31735089e-02
  3.92832309e-02  6.57713860e-02  3.44752148e-02 -5.52183650e-02
  1.22755915e-01  2.86456048e-02  4.63233255e-02 -1.71751715e-02
  1.39067071e-02  4.58440073e-02 -1.01097926e-01  1.24268256e-01
 -1.96934212e-02  5.32108583e-02  4.05951254e-02 -2.93921214e-02
  2.56457012e-02 -3.72579545e-02 -2.84450296e-02  1.97569262e-02
 -9.68187640e-04  5.75649031e-02 -4.91362996e-02  1.27824058e-03
 -1.11214854e-01  3.76051269e-03 -2.47204080e-02  5.55486530e-02
 -9.10637453e-02 -3.92077083e-04 -7.16624334e-02  5.14969267e-02
 -6.67727739e-02 -6.44916371e-02  6.04405291e-02  3.01401597e-02
  5.29830419e-02  3.49360169e-03 -2.74113491e-02  4.09072125e-03
 -1.24216396e-02  2.65143625e-02 -7.78732076e-02  1.77608337e-02
  1.24258280e-01  1.05238624e-01  5.94462864e-02  1.38854282e-03
 -9.86801311e-02  6.17190376e-02  3.74076776e-02  4.14633984e-03
  6.64516399e-03 -5.61859049e-02 -5.32296784e-02  2.41178181e-02
  6.81491643e-02  7.26434141e-02 -1.94696169e-02 -2.54952273e-08
  3.86716686e-02  3.53476852e-02  8.52273777e-02 -4.24350053e-02
  2.12468971e-02  5.24246134e-02 -4.83270809e-02  3.62358033e-03
 -6.57446757e-02  5.76052740e-02  2.95456331e-02 -2.14627087e-02
 -2.88190022e-02 -3.29619236e-02 -2.62489729e-02  7.90237412e-02
 -1.07016778e-02 -9.93581582e-03  4.63207904e-03 -7.35445097e-02
 -2.92048156e-02  3.40775736e-02 -1.41467145e-02  6.41006902e-02
  1.34654995e-02  2.53254808e-02  1.61842108e-02  2.54797097e-02
  1.84866209e-02 -1.01083040e-01  1.37764923e-02 -9.52926576e-02
 -1.22277960e-02 -3.13119516e-02  9.14782956e-02  1.73203871e-02
 -3.12003610e-03 -3.03155668e-02  1.75337717e-02  1.26698893e-02
 -3.70688885e-02  3.48519906e-02  1.53555337e-03  1.05550010e-02
  6.48143739e-02  7.03816637e-02 -3.25980857e-02 -8.28270742e-04
 -4.52073436e-04  7.62359193e-03 -3.16329673e-02 -2.64685508e-02
 -7.35679865e-02 -3.28657143e-02  1.28253354e-02  7.61872455e-02
 -1.41638309e-01 -1.42567260e-02  6.20102510e-04  5.54868346e-03
  9.37184878e-03  5.58886416e-02  4.89133447e-02  6.53035659e-03]",0,3
matplotlib,410,matplotlib is a comprehensive library for creating static animated and interactive visualization in python check out our home page for more information matplotlib produce publication quality figure in a variety of hardcopy format and interactive environment across platform matplotlib can be used in python script python ipython shell web application server and various graphical user interface toolkits for installation instruction and requirement see the install documentation or installing rst in the source you ve discovered a bug or something else you want to change excellent you ve worked out a way to fix it even better you want to tell u about it best of all start at the contributing guide discourse is the discussion forum for general question and discussion and our recommended starting point our active mailing list which are mirrored on discourse are user mailing list matplotlib user python organnouncement mailing list matplotlib announce python orgdevelopment mailing list matplotlib devel python orggitter is for coordinating development and asking question directly related to contributing to matplotlib if matplotlib contributes to a project that lead to publication please acknowledge this by citing matplotlib a ready made citation entry is available please note that this repository is participating in a study into sustainability of open source project data will be gathered about this repository for approximately the next month starting from june data collected will include number of contributor number of pr time taken to close merge these pr and issue closed for more information please visit the informational page or download the participant information sheet,"[('matplotlib devel python orggitter', 0.6789), ('platform matplotlib', 0.6728), ('matplotlib', 0.6481), ('matplotlib user python organnouncement mailing list matplotlib', 0.5601), ('various graphical user interface toolkits', 0.4078), ('python', 0.3933), ('python orgdevelopment mailing list', 0.3892), ('interactive visualization', 0.3689), ('python script python', 0.3447), ('open source project data', 0.3149)]","[-1.87215358e-02 -7.57657588e-02 -2.18836870e-02 -7.00362772e-02
  5.49708903e-02 -1.28464833e-01 -2.01144628e-02  3.52936722e-02
  3.90474941e-03  2.99584959e-03 -1.80220865e-02  1.29373455e-02
 -2.12862715e-02 -4.73489240e-02  4.98348847e-02  1.77945779e-03
 -6.21905476e-02 -1.67183820e-02  9.65818763e-02 -9.49977636e-02
  2.76626889e-02  1.23311551e-02  1.08150085e-02  1.10399665e-03
  5.94532788e-02  6.96649449e-03 -1.85508709e-02 -2.82096677e-02
 -3.98572721e-02 -1.87179092e-02 -1.62634309e-02  2.73193531e-02
  7.55497441e-02 -4.14609015e-02 -2.28644460e-02  2.55497787e-02
  6.69721365e-02 -1.28465910e-02 -7.59741589e-02 -2.17557512e-02
 -8.36976543e-02  4.63351384e-02  3.33424658e-02 -1.38974423e-02
  3.36828195e-02 -1.78457648e-02 -5.18249422e-02 -1.14538148e-01
 -1.06635934e-03  2.94463895e-02 -3.36557366e-02 -9.12171677e-02
 -1.66556332e-02  1.29566435e-02  1.65593419e-02 -2.25897674e-02
 -9.24874004e-03 -5.05822040e-02  6.30208477e-02 -3.79736125e-02
 -1.14689894e-01  8.33232850e-02 -1.40745165e-02  4.36298102e-02
 -6.60318742e-03  7.94546772e-03  3.57502513e-02  3.61672454e-02
  7.83006102e-02 -3.75284404e-02 -7.38325268e-02 -1.52032711e-02
  3.40119563e-03  5.75628318e-02 -4.82907034e-02 -6.96638897e-02
 -2.31922381e-02 -3.08826193e-02  1.07331006e-02 -7.69570321e-02
 -3.23704630e-02  5.30571491e-02 -2.92596761e-02  4.21452783e-02
 -4.25536893e-02  3.88172083e-02 -1.38680367e-02  1.20801009e-01
  2.90450659e-02  1.13673806e-02  2.80994475e-02 -2.62977891e-02
 -1.58620756e-02  8.28999951e-02 -3.41328308e-02 -1.94691587e-02
  3.69614400e-02 -6.75417390e-03 -5.09932451e-02  3.66724767e-02
  1.55059611e-02 -9.92610455e-02  3.54640782e-02  1.75559353e-02
 -2.04128190e-03  2.63317693e-02  3.21171917e-02 -9.34987292e-02
  2.30474863e-02  5.48684224e-02 -2.21013315e-02 -3.89301628e-02
 -6.78516328e-02 -5.25843166e-02  1.10565186e-01 -2.26353272e-03
 -6.71100542e-02  3.43187526e-02  1.46073792e-02 -1.39631080e-02
 -3.82721424e-02  9.62948776e-04  7.33165070e-02  3.48819559e-03
  1.56044681e-02 -7.10530160e-03 -5.45037054e-02  6.42241330e-33
 -3.40938382e-02 -8.38711206e-03  1.79475192e-02  2.33936273e-02
  8.09250772e-02 -9.41299275e-02 -3.56155559e-02 -7.26281572e-03
 -1.79725885e-02 -2.40793414e-02  5.09408489e-03  1.27630979e-01
  1.46521693e-02  1.07506551e-01  4.69168760e-02 -7.63839260e-02
  9.02870074e-02  7.50037730e-02 -3.86854038e-02 -9.41512734e-03
 -3.86348646e-03  3.96848209e-02  1.39087662e-02  9.94805396e-02
  1.46065736e-02 -7.14805489e-03 -2.82805739e-03 -6.97929598e-03
 -4.24996659e-04  3.67841944e-02 -5.78458793e-02 -1.14930316e-03
  1.42675294e-02 -1.32551892e-02 -2.77934410e-02 -3.44373402e-03
  1.78265739e-02 -1.12026803e-01 -1.49795627e-02  2.44690049e-02
 -6.34215251e-02 -2.18749568e-02  4.38110083e-02  3.30036390e-03
  4.77051176e-02  3.60158645e-02 -2.38758232e-02  1.16846062e-01
  1.05998702e-01 -1.58360023e-02 -6.54650778e-02 -8.57019611e-03
 -9.50799230e-03  6.01091161e-02 -4.99389647e-03  1.17539763e-02
 -2.42394991e-02 -4.10380773e-02 -1.42915752e-02 -1.32072335e-02
 -1.88629981e-02  3.05713657e-02  5.64004928e-02 -6.73232451e-02
 -2.86472272e-02 -3.61158210e-03 -5.83654875e-03 -3.23472545e-02
 -2.18860544e-02  1.17606252e-01 -8.72590020e-02  1.51287653e-02
 -1.73069024e-03  4.93053272e-02  1.33837042e-02  9.02852789e-03
 -8.92715435e-03 -1.02038207e-02 -3.93514447e-02  5.09909876e-02
 -4.92680110e-02 -7.61748627e-02 -1.90271046e-02 -5.58133088e-02
  4.10790136e-03  2.44618999e-03  5.09998128e-02  8.91665593e-02
 -5.65936118e-02 -1.55034512e-02 -4.73485552e-02 -8.84515140e-03
  4.25233413e-03  8.19531307e-02 -5.02397306e-02 -7.43278449e-33
 -4.54998650e-02  9.31670666e-02 -8.19205958e-03  3.60866226e-02
  1.21078370e-02  5.49585596e-02  1.26105752e-02 -7.33514577e-02
  9.26125720e-02 -5.79579151e-04 -7.60174692e-02 -7.33919516e-02
  6.52677119e-02 -2.23913547e-02  2.52873506e-02 -7.95178674e-03
 -6.81336671e-02 -3.67614701e-02 -3.86735387e-02 -2.36247163e-02
 -1.40234470e-01  6.95257410e-02 -5.06812744e-02 -7.87941068e-02
 -9.25160851e-03 -3.64071503e-03 -5.04994430e-02 -9.38132107e-02
  1.37038641e-02 -1.45244850e-02 -4.16355543e-02  3.23813893e-02
 -7.77296275e-02  1.44072585e-02  5.14349565e-02  7.93914050e-02
  3.75290923e-02  1.56522414e-03 -4.46128398e-02  1.52560072e-02
  1.10993892e-01  8.61423463e-02  1.62465870e-02 -4.00799438e-02
 -4.62507717e-02  3.66395980e-04 -1.32374495e-01  1.37553260e-01
  2.39271242e-02 -1.38270631e-02 -1.98869091e-02  4.85763140e-02
  5.88907339e-02 -8.24188143e-02  3.03234216e-02 -1.17913494e-02
  7.26288557e-02  5.61091490e-02 -1.97656304e-02 -1.02052214e-02
 -1.02615669e-01 -4.94055711e-02  5.15624657e-02  7.78461695e-02
 -5.58444895e-02 -4.54305336e-02 -4.90853302e-02 -4.68233936e-02
 -4.94359806e-02 -6.70737103e-02  5.99395037e-02  1.85678490e-02
 -1.07266502e-02 -6.06124382e-03 -2.63422057e-02  7.20517710e-02
 -1.82992350e-02 -2.67393086e-02 -7.26293549e-02  3.40868235e-02
  1.59044668e-01  4.66270223e-02  7.24054277e-02  7.11276308e-02
 -9.83957350e-02  5.39885238e-02  8.25528055e-03 -3.62832621e-02
  8.48773271e-02  1.05499299e-02  3.04001160e-02  3.24451588e-02
  3.09587810e-02  7.25432038e-02  2.70700213e-02 -3.29686181e-08
 -8.90374300e-04  1.65705979e-02  3.30805145e-02 -2.32982393e-02
  2.08339412e-02  7.41716549e-02  3.51652205e-02  8.51401836e-02
 -1.19653381e-02  9.12741795e-02  6.65300572e-03 -3.01489215e-02
 -8.47733542e-02 -2.99876016e-02 -1.01320492e-02  8.48750547e-02
 -2.26265360e-02 -2.94305570e-02  4.59927358e-02 -3.63607449e-03
  3.18543054e-02 -1.28370188e-02 -2.43655778e-02  5.07468991e-02
 -9.65604931e-02 -1.49088576e-02  6.41978905e-03  2.81678289e-02
 -3.49324867e-02  3.80605273e-02 -2.45676953e-02 -9.36523825e-02
 -2.56975717e-03 -2.84063648e-02  1.05216824e-01 -6.55937474e-03
 -9.51450840e-02 -2.11838931e-02  2.51400396e-02  1.15686134e-01
 -1.86801292e-02 -9.28004179e-03  5.58035076e-02 -1.89732425e-02
  1.80701483e-02  3.96315455e-02 -5.67859150e-02 -4.59499769e-02
 -3.09807365e-03 -2.75359638e-02 -2.76687406e-02  1.47277229e-02
 -1.80773996e-02 -4.68144454e-02  3.37374620e-02  9.33284387e-02
 -9.20234695e-02 -4.43949737e-02  2.84725316e-02  2.31290478e-02
 -3.91968340e-02  2.02891286e-02  3.99190485e-02  5.79333724e-03]",0,3
